date,series,value
2024-01-01,unemployment_rate,3.8
2024-04-01,unemployment_rate,3.9
2024-07-01,unemployment_rate,4.0
2024-10-01,unemployment_rate,4.1
2025-01-01,unemployment_rate,4.1
2025-04-01,unemployment_rate,4.2
2025-07-01,unemployment_rate,4.3
2025-10-01,unemployment_rate,4.4
2026-01-01,unemployment_rate,4.5
2024-01-01,labor_productivity_index,100
2024-04-01,labor_productivity_index,101.2
2024-07-01,labor_productivity_index,102.8
2024-10-01,labor_productivity_index,103.7
2025-01-01,labor_productivity_index,104.6
2025-04-01,labor_productivity_index,105.3
2025-07-01,labor_productivity_index,106.2
2025-10-01,labor_productivity_index,107.4
2026-01-01,labor_productivity_index,108.1
2024-01-01,real_wage_index,100
2024-04-01,real_wage_index,100.4
2024-07-01,real_wage_index,100.7
2024-10-01,real_wage_index,100.9
2025-01-01,real_wage_index,101.0
2025-04-01,real_wage_index,101.1
2025-07-01,real_wage_index,101.2
2025-10-01,real_wage_index,101.3
2026-01-01,real_wage_index,101.4
2024-01-01,job_openings_index,100
2024-04-01,job_openings_index,99.4
2024-07-01,job_openings_index,98.8
2024-10-01,job_openings_index,98.2
2025-01-01,job_openings_index,97.4
2025-04-01,job_openings_index,96.8
2025-07-01,job_openings_index,96.1
2025-10-01,job_openings_index,95.4
2026-01-01,job_openings_index,94.8
2024-01-01,sector_stress_index,100
2024-04-01,sector_stress_index,100.3
2024-07-01,sector_stress_index,100.8
2024-10-01,sector_stress_index,101.2
2025-01-01,sector_stress_index,101.8
2025-04-01,sector_stress_index,102.4
2025-07-01,sector_stress_index,103.1
2025-10-01,sector_stress_index,103.7
2026-01-01,sector_stress_index,104.4
